Abies alba
Acer pseudoplatanus
Achillea erba-rotta subsp moschata
Achillea millefolium
Achillea ptarmica subsp. ptarmica
Achillea ptarmica subsp. pyrenaica
Aegopodium podagraria
Agrimonia eupatoria
Ajuga chamaepitys
Alliaria petiolata
Allium ursinum
Amaranthus
Angelica sylvestris
Apium nodiflorum
Arctium lappa
Arctium nemorosum
Artemisia absinthium
Atriplex halimus
Berberis
Berberis vulgaris
Brassica nigra
Calendula arvensis
Capsella bursa-pastoris
Cardamine amara
Cardamine flexuosa
Cardamine hirsuta
Cardamine pratensis
Cerastium arvense
Chenopodium album
Chenopodium bonus-henricus
Chrysosplenium oppositifolium
Cichorium intybus
Clinopodium grandiflorum
Cornus mas
Crataegus monogyna
Crepis boursifolia
Crepis bursifolia
Crepis sancta
Crepis vesicaria
Crithmum maritimum
Daucus carota
Diplotaxis erucoides
Diplotaxis tenuifolia
Epilobium parviflorum
Equisetum telmateia
Fagus sylvatica
Filipendula ulmaria
Foeniculum vulgare
Fraxinus excelsior
Fraxinus ornus
Galinsoga parviflora
Geum urbanum
Glechoma hederacea
Helichrysum stoechas
Heracleum sphondylium
Humulus lupulus
Hypochaeris radicata
Juniperus communis
Lactuca muralis
Lactuca perennis
Lactuca serriola
Lamium album
Lamium galeobdolon
Lamium maculatum
Lampsana communis subsp. communis
Lampsana communis subsp. intermedia
Legousia speculum-veneris
Lepidium draba
Lepidium graminifolium
Leucanthemum vulgare
Lobularia maritima
Lotus corniculatus
Lunaria annua
Lunaria rediviva
Malva sylvestris
Matricaria discoidea
Melilotus
Melilotus officinalis
Mentha aquatica
Mespilus germanica
Morus nigra
Nasturtium officinale
Noccaea perfoliata
Origanum vulgare
Ornithogalum pyrenaicum
Oxalis corniculata
Papaver rhoeas
Pastinaca sativa
Persicaria hydropiper
Peucedanum ostruthium
Phyteuma spicatum
Picea abies
Plantago coronopus
Plantago lanceolata
Podospermum laciniatum
Polypodium vulgare
Populus nigra
Portulaca oleracea
Potentilla anserina
Poterium sanguisorba
Primula veris
Prunus spinosa
Pseudotsuga menziesii
Quercus robur
Reichardia picroides
Reynoutria japonica
Robinia pseudoacacia
Robinia pseudoaccacia
Rosa canina
Rubus fruticosus
Rumex acetosa
Rumex acetosa 2
Rumex acetosella
Rumex alpina
Rumex intermedius
Rumex pulcher
Ruscus aculeatus
Ruta graveolens
Salicornia europaea
Sambucus nigra
Sanguisorba minor
Saxifraga granulata
Scandix pectens-veneris
Sedum album
Sideritis romana
Silene vulgaris
Smyrnium olusatrum
Solanum nigrum
Sonchus asper
Sonchus oleraceus
Sonchus tenerrimus
Stachys arvensis
Stachys sylvatica
Stellaria media
Symphytum officinale
Taraxacum officinale
Taraxacum sect. Ruderalia
Taraxacum sp.
Tilia cordata
Tragopogon porrifolius
Tussilago farfara
Typha latifolia
Umbilicus rupestris
Urospermum dalechampii
Urtica dioica
Vaccinium myrtillus
Valerianella sp.
Valeriella locusta
Veronica beccabunga
Veronica beccabunga
Viola odorata
